start_time,median_flux
1329.25060009, 137.72477722
1328.58393275, 144.29876709
1328.56309943, 143.31359863
1329.43810034, 133.55754089
1329.00059976, 136.68118286
1328.60476608, 145.03793335
1328.89643295, 142.07644653
1328.64643273, 144.62577820
1328.91726632, 140.78819275
1328.83393287, 144.73548889
1328.66726606, 144.47619629
1328.54226610, 142.02622986
1329.04226648, 136.57450867
1328.52143277, 140.59339905
1328.68809938, 144.44833374
1329.18810001, 138.89924622
1329.27143345, 136.97219849
1329.35476690, 133.70718384
1329.14643329, 138.77056885
1329.31310018, 134.92468262
1328.75059943, 145.10662842
1329.02143312, 136.38046265
1328.77143279, 145.35583496
1328.81309951, 145.18954468
1328.70893271, 144.53059387
1328.93809968, 139.48956299
1328.87559959, 143.18658447
1329.08393320, 137.57044983
1329.39643362, 133.31967163
1329.37560026, 133.44845581
1329.41726698, 133.38522339
1328.72976606, 144.77673340
1328.85476623, 144.03796387
1328.79226615, 145.35064697
1329.45893370, 133.80867004
1329.33393354, 134.25393677
1329.16726665, 138.88455200
1329.50060043, 135.08270264
1328.62559940, 144.74945068
1329.10476657, 138.11254883
1329.12559993, 138.51834106
1328.97976640, 137.41503906
1329.29226682, 135.89230347
1329.47976707, 134.32910156
1328.95893304, 138.26519775
1329.20893337, 138.63241577
1329.22976673, 138.28614807
1329.06309984, 137.01229858
1337.14642925, 83.61378479
1337.20892923, 83.60772705
1337.08392927, 83.64752960
1337.12559593, 83.59703064
1337.39642917, 83.58704376
1337.31309587, 83.63764954
1336.75059604, 83.66697693
1336.66726274, 83.66094971
1337.22976256, 83.58710480
1336.62559608, 83.65562439
1337.47976248, 83.62905121
1337.02142929, 83.62686920
1337.16726258, 83.56655121
1336.56309610, 83.63501740
1337.37559585, 83.63264465
1337.33392919, 83.62181091
1336.81309602, 83.66780090
1336.95892931, 83.66388702
1337.43809583, 83.61896515
1336.83392935, 83.66349030
1336.77142937, 83.66326141
1337.04226262, 83.64157867
1336.97976264, 83.65431213
1336.85476268, 83.67243958
1337.35476252, 83.63359833
1336.60476276, 83.66442871
1337.29226254, 83.61309052
1337.45892915, 83.59648132
1336.93809599, 83.59060669
1336.64642941, 83.65798950
1336.91726266, 83.63743591
1337.18809591, 83.62313843
1336.70892939, 83.69550323
1336.58392943, 83.69334412
1337.00059597, 83.66374207
1337.41726250, 83.60876465
1336.52142945, 83.64128113
1337.50059581, 83.62063599
1336.87559600, 83.60985565
1337.27142921, 83.60588074
1336.89642933, 83.63066101
1337.25059589, 83.60850525
1336.79226270, 83.63960266
1336.54226278, 83.63733673
1337.06309595, 83.63730621
1337.10476260, 83.59903717
1336.72976272, 83.62142944
1336.68809606, 83.65969849
1340.50059471, 107.81011963
1340.20892818, 96.70519257
1339.77142839, 83.78028870
1340.33392812, 101.01597595
1340.18809486, 96.26689148
1340.39642809, 103.02794647
1340.06309492, 92.94372559
1340.47976139, 106.74206543
1339.66726177, 83.71320343
1339.72976174, 83.75732422
1340.41726142, 103.86659241
1339.68809510, 83.72769165
1339.95892830, 86.62521362
1340.29226148, 99.57701111
1339.79226171, 83.79197693
1340.27142815, 98.75727844
1340.10476157, 94.21001434
1339.85476168, 84.13727570
1339.87559501, 84.44943237
1339.83392836, 83.96516418
1339.93809498, 85.71534729
1339.70892842, 83.74258423
1340.31309480, 100.30493164
1340.16726154, 95.62245178
1339.81309504, 83.82541656
1340.43809474, 104.76199341
1340.12559489, 94.59774780
1340.35476145, 101.65408325
1339.97976162, 87.95558929
1340.37559477, 102.32822418
1340.22976151, 97.33686829
1340.02142827, 90.71673584
1340.25059483, 98.00340271
1340.04226159, 91.97203064
1340.45892806, 105.72199249
1339.75059507, 83.75099945
1340.14642821, 95.01730347
1339.89642833, 84.81139374
1339.91726165, 85.19011688
1340.08392824, 93.74166870
1340.00059495, 89.29884338
1326.52143350, 137.97737122
1326.56310015, 140.32437134
1326.62560013, 142.77404785
1326.89643336, 141.56362915
1326.93810002, 138.20513916
1327.39643318, 133.58192444
1327.16726660, 139.96725464
1326.97976667, 136.23123169
1327.37559986, 132.96466064
1327.10476662, 139.37741089
1327.12559995, 139.96173096
1326.54226683, 139.47630310
1326.58393348, 141.29756165
1326.83393339, 144.07901001
1327.08393330, 138.70590210
1326.81310006, 143.67935181
1327.14643327, 140.22811890
1326.87560004, 143.01115417
1326.95893334, 136.95419312
1326.91726669, 139.79470825
1326.64643345, 142.96498108
1326.68810011, 142.42852783
1327.27143323, 134.00585938
1327.41726651, 135.27842712
1326.66726678, 142.79501343
1327.43809983, 137.23339844
1326.77143341, 142.29119873
1327.18809992, 139.31979370
1326.79226673, 142.92999268
1327.33393321, 132.65626526
1327.29226655, 132.99121094
1326.75060008, 142.01222229
1326.70893343, 142.12500000
1327.22976658, 138.03405762
1326.60476680, 142.21926880
1327.04226664, 137.07086182
1327.06309997, 137.92160034
1327.47976649, 139.52136230
1326.72976676, 142.00082397
1327.25059990, 136.19978333
1327.20893325, 138.84805298
1327.02143332, 136.42034912
1327.31309988, 132.75421143
1327.00059999, 136.05036926
1327.50059981, 140.93966675
1327.35476653, 132.76043701
1327.45893316, 138.39312744
1326.85476671, 143.90478516
1327.68809974, 147.45167542
1328.47976612, 137.68191528
1327.95893298, 139.64675903
1328.31309952, 135.46423340
1328.14643291, 139.88153076
1327.70893307, 147.61012268
1328.35476617, 135.10554504
1327.52143314, 142.65834045
1327.83393302, 148.10443115
1327.62559977, 147.79553223
1327.58393311, 147.55389404
1328.43809947, 136.11926270
1328.04226628, 138.20983887
1328.50059945, 138.94052124
1328.06309961, 138.87213135
1328.00059963, 137.96090698
1327.89643300, 144.05847168
1328.12559958, 139.90579224
1328.45893280, 136.73553467
1328.20893289, 138.64566040
1328.27143287, 136.75868225
1328.18809956, 139.13867188
1328.33393284, 135.21820068
1328.25059954, 137.56159973
1327.81309970, 147.47857666
1327.79226637, 147.78276062
1327.75059972, 147.88255310
1328.41726615, 135.65975952
1328.29226619, 136.01966858
1327.93809965, 141.00477600
1327.56309979, 146.30979919
1328.39643282, 135.30065918
1328.10476626, 139.79977417
1328.08393293, 139.45120239
1328.02143296, 137.80644226
1327.87559968, 145.31356812
1327.60476644, 147.76641846
1327.97976630, 138.64416504
1328.16726624, 139.69683838
1328.22976621, 138.17619324
1327.72976640, 147.77001953
1327.77143305, 147.89013672
1327.91726633, 142.60289001
1327.85476635, 146.22425842
1327.64643309, 147.65240479
1327.54226646, 144.53881836
1327.66726642, 147.50480652
1328.37559949, 135.18852234
1344.58392628, 122.69870758
1345.31309268, 112.87155151
1345.35475933, 111.79838562
1344.54225963, 121.09202576
1345.41725930, 112.14938354
1344.64642626, 122.89648438
1345.06309277, 116.09991455
1344.77142621, 121.31483459
1344.56309296, 122.04312134
1345.04225944, 115.73995209
1344.87559284, 120.53892517
1345.16725940, 118.09661865
1345.29225935, 113.75999451
1344.81309286, 121.34644318
1345.39642598, 111.84468079
1345.47975928, 114.04206085
1344.62559293, 123.10984802
1345.12559274, 117.54497528
1344.89642616, 119.87803650
1344.66725959, 124.14159393
1344.52142631, 119.91325378
1344.75059289, 121.28187561
1345.10475942, 117.09165955
1344.72975956, 121.38816833
1344.60475961, 123.13957214
1345.02142612, 115.64800262
1344.79225954, 121.34015656
1345.50059261, 114.97074127
1344.70892624, 121.62461090
1344.85475951, 120.94105530
1345.00059279, 115.94563293
1345.20892605, 117.44868469
1345.27142602, 114.69927979
1344.83392619, 121.18626404
1345.18809272, 117.94866180
1344.97975947, 116.51818848
1345.08392609, 116.57620239
1345.22975937, 116.67884064
1345.14642607, 117.88521576
1344.95892614, 117.25541687
1345.43809263, 112.63771057
1344.68809291, 122.03395081
1345.33392600, 112.20357513
1344.93809282, 118.12289429
1344.91725949, 119.07929230
1345.45892596, 113.22814941
1345.25059270, 115.66701508
1345.37559265, 111.63015747
1350.45892403, 86.90821838
1349.68809101, 96.74732208
1349.72975766, 96.38996887
1350.35475741, 87.88795471
1349.75059098, 96.21778107
1349.89642426, 95.88182068
1350.29225744, 88.66171265
1350.00059088, 94.33599091
1349.81309096, 96.24594116
1350.04225753, 93.59503937
1349.93809091, 95.33226013
1349.85475761, 96.17622375
1350.41725738, 87.24809265
1349.52142441, 96.64266968
1350.02142421, 93.97640228
1349.87559093, 96.06384277
1349.56309106, 96.88469696
1349.62559103, 97.06093597
1350.33392409, 88.12396240
1350.39642406, 87.47410583
1350.22975746, 89.90528870
1349.97975756, 94.72058868
1350.50059068, 86.54827118
1350.16725748, 91.32894897
1349.58392438, 96.93109131
1350.31309076, 88.34645081
1350.06309086, 93.23097229
1349.91725758, 95.62504578
1349.83392428, 96.21681976
1350.25059079, 89.43447876
1350.10475751, 92.49777222
1349.64642436, 97.00709534
1349.66725768, 98.25970459
1350.27142411, 88.94627380
1350.43809071, 87.06408691
1349.60475771, 96.97973633
1349.54225773, 96.71734619
1349.95892423, 95.06311798
1350.08392418, 92.87330627
1350.18809081, 90.87960052
1349.70892433, 96.58834076
1349.77142431, 96.23241425
1350.14642416, 91.75325012
1350.37559074, 87.67429352
1350.47975736, 86.73242188
1349.79225763, 96.17011261
1350.12559083, 92.10733795
1350.20892414, 90.40501404
1333.16727199, 106.79341125
1332.81310485, 109.02408600
1332.54227115, 109.65353394
1332.79227149, 109.34684753
1333.10477190, 106.29295349
1332.60477124, 111.13203430
1333.47977137, 101.88031769
1333.50060464, 102.21446228
1332.68810468, 111.11087036
1333.43810482, 101.88957977
1332.64643796, 111.42765808
1333.04227182, 106.17131805
1332.83393821, 110.21183777
1333.27143864, 106.25277710
1333.06310518, 106.12851715
1332.58393788, 110.80464172
1333.08393854, 106.17984009
1333.00060510, 106.44529724
1333.41727155, 102.11123657
1333.31310519, 105.05921936
1333.29227192, 105.69198608
1332.85477157, 108.45199585
1333.02143846, 106.28010559
1332.87560493, 108.15807343
1333.22977207, 106.87002563
1332.91727165, 107.63868713
1332.62560460, 111.35617065
1333.45893810, 101.76483917
1332.93810501, 107.35218811
1333.20893871, 106.97082520
1332.70893804, 110.84655762
1332.77143813, 109.71335602
1332.75060476, 110.01139069
1332.56310451, 110.32130432
1332.72977140, 110.49177551
1333.12560526, 106.42499542
1333.35477173, 103.68984985
1333.33393846, 104.37984467
1333.25060537, 106.61343384
1332.66727132, 111.30323792
1333.14643863, 106.57003784
1332.89643829, 107.89547729
1332.97977174, 106.66690063
1333.37560501, 103.05983734
1333.39643828, 102.47224426
1332.95893838, 107.01340485
1332.52143779, 109.01189423
1333.18810535, 106.96170044
1351.14642372, 86.75457001
1350.52142400, 86.42130280
1351.47975690, 87.35910034
1350.72975724, 86.15898132
1351.18809037, 86.79167175
1351.31309031, 87.02162933
1351.25059034, 86.89849854
1351.04225710, 86.61344147
1350.64642395, 86.11485291
1351.35475696, 87.06134796
1350.81309054, 86.31532288
1351.20892369, 86.86596680
1350.75059057, 86.21273804
1351.02142378, 86.57168579
1350.60475730, 86.17546082
1351.39642360, 87.16390991
1350.97975713, 86.47998047
1350.79225721, 86.28936768
1351.37559028, 87.12731934
1351.50059022, 87.50220490
1351.22975701, 86.87396240
1350.85475718, 86.33650208
1350.62559062, 86.12863159
1350.83392386, 86.35760498
1350.77142389, 86.23948669
1350.95892380, 86.46920776
1351.10475707, 86.68139648
1351.41725693, 87.20486450
1351.33392363, 87.00251007
1350.56309065, 86.20812988
1350.66725727, 86.11534119
1350.58392398, 86.20902252
1350.91725716, 86.43050385
1350.87559051, 86.38238525
1350.54225733, 86.34761810
1351.00059045, 86.55464935
1351.12559039, 86.73007965
1351.45892358, 87.32613373
1350.70892392, 86.15936279
1350.68809059, 86.12473297
1351.16725704, 86.76858521
1351.06309042, 86.67648315
1351.29225698, 86.93717957
1351.27142366, 86.91651154
1351.43809025, 87.29647827
1351.08392375, 86.67021179
1350.93809048, 86.46246338
1350.89642383, 86.41519928
1352.33392318, 91.59579468
1351.62559017, 87.86851501
1351.52142355, 87.54006958
1351.79225676, 88.48668671
1352.45892312, 92.71084595
1352.16725658, 91.91374207
1352.31308985, 91.42436981
1351.66725681, 87.96839905
1351.89642338, 88.88105774
1352.27142320, 91.05905151
1351.93809002, 89.07729340
1352.43808979, 92.51294708
1352.12558994, 90.09266663
1351.75059011, 88.32662201
1351.81309008, 88.49732208
1352.10475661, 89.95874023
1351.83392340, 88.60097504
1352.47975644, 92.94279480
1352.04225664, 89.61096191
1352.22975656, 90.83605957
1352.41725647, 92.30110168
1351.64642349, 87.92695618
1351.70892346, 88.13953400
1352.25058988, 90.94788361
1351.56309019, 87.63851929
1351.77142343, 88.34220123
1351.58392352, 87.72383118
1352.06308997, 89.74781036
1352.00058999, 89.39859009
1352.08392329, 89.81907654
1351.68809014, 88.06784058
1351.85475673, 88.74562073
1352.35475650, 91.71046448
1352.02142332, 89.55458069
1352.14642326, 90.24777985
1351.72975678, 88.19926453
1351.91725670, 88.99176025
1352.18808991, 90.52278137
1352.39642315, 92.07623291
1351.87559005, 88.75848389
1352.20892323, 90.63972473
1351.54225687, 87.57201385
1351.60475684, 87.74389648
1352.37558982, 91.90587616
1352.50058977, 93.14296722
1351.95892335, 89.23539734
1352.29225653, 91.25930786
1351.97975667, 89.30686951
1347.25059196, 107.20320892
1347.02142538, 108.75912476
1347.35475859, 103.86930847
1346.81309212, 111.92603302
1346.64642552, 113.55288696
1346.56309222, 112.43840027
1347.00059205, 109.07740784
1346.54225889, 111.69155884
1347.04225871, 108.49522400
1346.77142547, 111.62702942
1346.60475887, 113.51130676
1347.06309203, 108.35004425
1347.14642533, 108.90687561
1346.85475877, 111.99810791
1346.83392545, 112.00057220
1346.52142556, 110.91685486
1346.75059215, 111.72180939
1347.39642524, 102.89093018
1346.89642543, 111.42115784
1347.27142529, 106.42643738
1346.62559219, 113.67956543
1347.45892522, 103.14064026
1346.97975873, 109.52668762
1347.18809199, 108.85600281
1347.16725866, 110.62136078
1346.95892540, 110.04840088
1346.87559210, 111.77653503
1347.22975864, 107.97486115
1346.70892550, 112.35125732
1346.68809217, 112.90114594
1347.41725857, 102.87431335
1347.43809189, 102.94300842
1347.50059187, 103.79702759
1347.37559192, 103.19747162
1347.31309194, 104.70001984
1347.33392527, 104.02905273
1347.10475868, 108.54788208
1347.20892531, 108.54531860
1346.91725875, 111.02838898
1346.93809208, 110.55456543
1347.47975854, 103.40371704
1346.79225880, 111.77695465
1347.29225861, 105.53533173
1347.08392536, 108.36438751
1346.58392554, 113.09487915
1346.66725884, 113.29162598
1347.12559201, 108.75904083
1346.72975882, 111.92288971
1338.06309563, 83.68637085
1337.52142913, 83.63018799
1338.10476228, 83.69091797
1337.77142906, 83.67565918
1337.81309571, 83.69532776
1338.12559561, 83.69606018
1337.60476244, 83.64201355
1337.58392912, 83.67529297
1337.83392904, 85.43371582
1337.64642910, 83.64909363
1337.75059573, 83.66558838
1338.43809551, 83.70511627
1338.22976225, 83.65737152
1338.02142898, 83.68264008
1337.95892900, 83.63761139
1337.93809567, 83.69468689
1337.54226246, 83.63078308
1337.91726234, 83.66252899
1338.50059549, 83.70236969
1337.85476236, 83.66027069
1338.08392896, 83.68970490
1337.72976240, 83.59437561
1338.29226223, 83.72923279
1338.27142890, 83.71227264
1337.56309579, 83.64616394
1338.04226230, 83.67816162
1337.68809575, 83.61639404
1338.16726226, 83.71455383
1338.14642894, 83.71118927
1338.45892884, 83.69183350
1338.25059557, 83.73818970
1338.47976217, 83.71958160
1338.18809559, 83.74164581
1338.35476221, 83.73677826
1338.00059565, 83.66737366
1338.39642886, 83.72927856
1337.89642902, 83.67683411
1337.79226238, 83.69801331
1338.20892892, 83.71575165
1337.87559569, 83.66850281
1337.70892908, 83.60961151
1338.33392888, 83.76403809
1337.62559577, 83.67287445
1338.37559553, 83.73761749
1337.66726242, 83.65007019
1338.41726219, 83.72063446
1338.31309555, 83.72260284
1337.97976232, 83.63938904
1349.08392458, 100.98184204
1348.66725807, 103.63349915
1348.83392468, 103.87950897
1349.43809110, 96.41585541
1349.04225793, 101.52479553
1349.18809120, 100.34107208
1349.35475780, 97.31551361
1349.10475790, 100.83889771
1348.70892473, 103.50581360
1349.27142450, 99.37779236
1349.47975776, 96.49034119
1349.12559123, 100.72299957
1348.97975795, 102.59659576
1348.75059138, 103.49162292
1348.93809130, 103.16428375
1348.79225803, 103.68769073
1348.85475800, 103.92720032
1349.02142460, 101.86399841
1349.06309125, 101.28952026
1349.50059108, 96.53721619
1349.16725788, 100.98335266
1348.95892463, 102.82646179
1348.54225812, 101.78134155
1348.89642465, 103.71075439
1349.14642455, 100.75473785
1349.39642445, 96.70774841
1349.00059128, 102.19680786
1348.62559142, 103.37511444
1348.81309135, 103.76132202
1349.41725778, 96.49958801
1349.45892443, 96.43908691
1349.22975785, 99.87312317
1348.56309145, 102.21842957
1349.33392448, 97.75970459
1348.72975805, 103.36798096
1348.68809140, 103.59327698
1348.52142480, 101.38442230
1349.25059118, 99.88220215
1349.31309115, 98.23884583
1348.77142470, 103.83657074
1348.64642475, 103.51544952
1348.60475810, 103.11087036
1348.87559133, 103.92337036
1349.20892453, 100.11662292
1349.37559113, 96.96747589
1348.58392477, 102.74366760
1348.91725798, 103.44026184
1349.29225783, 98.72329712
1332.27143746, 113.59570312
1332.31310418, 111.99377441
1332.47977107, 108.14549255
1331.87560360, 118.60911560
1332.00060376, 115.70462036
1332.16727065, 115.02354431
1331.58393654, 119.28662109
1331.75060343, 120.03661346
1332.20893737, 114.87271118
1331.60476990, 119.91956329
1331.81310351, 119.49300385
1332.29227082, 112.82157135
1331.68810335, 120.77650452
1331.93810368, 117.19657135
1332.39643763, 108.83962250
1331.66726999, 120.88470459
1332.50060443, 108.53073120
1331.62560326, 120.38309479
1331.54226982, 117.82701111
1331.72977007, 120.26788330
1332.43810435, 107.98678589
1331.89643696, 118.18586731
1332.12560393, 114.94697571
1331.97977040, 116.13948059
1331.79227015, 119.67162323
1332.25060410, 114.10514069
